QSO                        RA        DEC       zem         Ref                 INSTR  SPEC_FILE
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335lif2b.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335sic1a.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335sic2a.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335lif1b.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335lif2a.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335sic1b.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335sic2b.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335lif1a.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335lif2b_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335sic1a_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335sic2a_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335lif1b_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335lif2a_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335sic1b_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335sic2b_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  FUSE  MRK335lif1a_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  GHRS  MRK335_GHRS_G160M_1221_F.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  GHRS  MRK335_GHRS_G160M_F.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  GHRS  MRK335_GHRS_G160M_1221_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  GHRS  MRK335_GHRS_G160M_c.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  STIS  MRK335_STI_E140M_F.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  STIS  MRK335_STI_E140M_E.fits
                MRK335    1.58133   20.20289  0.02578     1999ApJS..121..287H  STIS  MRK335_STI_E140M_c.fits

            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259lif2a.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259sic1b.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259sic2b.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259lif1a.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259lif2b.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259sic1a.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259sic2a.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259lif1b.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259lif2a_c.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259sic1b_c.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259sic2b_c.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259lif1a_c.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259lif2b_c.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259sic1a_c.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259sic2a_c.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  FUSE  Q0026+1259lif1b_c.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  GHRS  Q0026+1259_GHRS_G270M_F.fits
            Q0026+1259    7.30750   13.26778  0.14500     2001AJ....121.2843B  GHRS  Q0026+1259_GHRS_G270M_2785_F.fits
